name,patents
Kangguo Cheng,56
Shunpei Yamazaki,52
Roderick A. Hyde,32
Jason K. Resch,28
Hanbyul Seo,26
Suckchel Yang,26
Joonkui Ahn,24
Alexander Reznicek,24
"Lowell L. Wood, JR.",23
Devendra K. Sadana,23
